#1	4	31.67	26.2438	0.069663	30	5	300	-300	1	1	1	15	40	1
#2	6	31.67	26.2438	0.069663	30	5	50	-13	1	1	1	15	40	1
#3	8	31.67	26.2438	0.069663	30	5	300	-300	1	1	1	15	40	1
4	10	6.78	12.8875	0.010875	300	150	200	-147	8	8	8	150	440	1
5	12	6.78	12.8875	0.010875	300	100	120	-35	8	8	8	150	110	1
#6	15	31.67	26.2438	0.069663	30	10	30	-10	1	1	1	15	40	1
#7	18	10.15	17.8200	0.012800	100	25	50	-16	5	5	5	50	50	1
#8	19	31.67	26.2438	0.069663	30	5	24	-8	1	1	1	15	40	1
#9	24	31.67	26.2438	0.069663	30	5	300	-300	1	1	1	15	40	1
10	25	6.78	12.8875	0.010875	300	100	140	-47	8	8	8	150	100	1
11	26	32.96	10.7600	0.003000	350	100	1000	-1000	8	8	8	175	100	1
#12	27	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40	1
#13	31	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40	1
#14	32	10.15	17.8200	0.012800	100	25	42	-14	5	5	5	50	50	1
#15	34	31.67	26.2438	0.069663	30	8	24	-8	1	1	1	15	40	1
#16	36	10.15	17.8200	0.012800	100	25	24	-8	5	5	5	50	50	1
#17	40	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40	1
#18	42	31.67	26.2438	0.069663	30	8	300	-300	1	1	1	15	40	1
#19	46	10.15	17.8200	0.012800	100	25	100	-100	5	5	5	50	59	1
20	49	28	12.3299	0.002401	250	50	210	-85	8	8	8	125	100	1
21	54	28	12.3299	0.002401	250	50	300	-300	8	8	8	125	100	1
#22	55	10.15	17.8200	0.012800	100	25	23	-8	5	5	5	50	50	1
#23	56	10.15	17.8200	0.012800	100	25	15	-8	5	5	5	50	50	1
24	59	39	13.2900	0.004400	200	50	180	-60	10	8	8	100	100	1
25	61	39	13.2900	0.004400	200	50	300	-100	10	8	8	100	100	1
#26	62	10.15	17.8200	0.012800	100	25	20	-20	5	5	5	50	50	1
27	65	64.16	8.3391	0.010590	420	100	200	-67	10	10	10	210	250	1
28	66	64.16	8.3391	0.010590	420	100	200	-67	10	10	10	210	250	1
29	69	6.78	12.8875	0.010875	300	80	99999	-99999	10	8	8	150	100	1
#30	70	74.33	15.4708	0.045923	80	30	32	-10	4	4	4	40	45	1
#31	72	31.67	26.2438	0.069663	30	10	100	-100	1	1	1	15	40	1
#32	73	31.67	26.2438	0.069663	30	5	100	-100	1	1	1	15	40	1
#33	74	17.95	37.6968	0.028302	20	5	9	-6	1	1	1	10	30	1
34	76	10.15	17.8200	0.012800	100	25	23	-8	5	5	5	50	50	1
#35	77	10.15	17.8200	0.012800	100	25	70	-20	5	5	5	50	50	1
36	80	6.78	12.8875	0.010875	300	150	280	-165	10	8	8	150	440	1
#37	82	10.15	17.8200	0.012800	100	25	9900	-9900	5	5	5	50	50	1
#38	85	31.67	26.2438	0.069663	30	10	23	-8	1	1	1	15	40	1
39	87	32.96	10.7600	0.003000	300	100	1000	-100	10	8	8	150	440	1
40	89	6.78	12.8875	0.010875	200	50	300	-210	10	8	8	100	400	1
#41	90	17.95	37.6968	0.028302	20	8	300	-300	1	1	1	10	30	1
#42	91	58.81	22.9423	0.009774	50	20	100	-100	1	1	1	25	45	1
43	92	6.78	12.8875	0.010875	300	100	9	-3	8	8	8	150	100	1
44	99	6.78	12.8875	0.010875	300	100	100	-100	8	8	8	150	100	1
45	100	6.78	12.8875	0.010875	300	100	155	-50	8	8	8	150	110	1
#46	103	17.95	37.6968	0.028302	20	8	40	-15	1	1	1	10	30	1
#47	104	10.15	17.8200	0.012800	100	25	23	-8	5	5	5	50	50	1
#48	105	10.15	17.8200	0.012800	100	25	23	-8	5	5	5	50	50	1
#49	107	17.95	37.6968	0.028302	20	8	200	-200	1	1	1	10	30	1
#50	110	58.81	22.9423	0.009774	50	25	23	-8	2	2	2	25	45	1
51	111	10.15	17.8200	0.012800	100	25	1000	-100	5	5	5	50	50	1
#52	112	10.15	17.8200	0.012800	100	25	1000	-100	5	5	5	50	50	1
#53	113	10.15	17.8200	0.012800	100	25	200	-100	5	5	5	50	50	1
#54	116	58.81	22.9423	0.009774	50	25	1000	-1000	2	2	2	25	45	1
